"Number","Name","Type1","Type2","HP","Attack","Defense","SpecialAttack","SpecialDefense","Speed"
"1","Bulbasaur","Grass","Poison","45","49","49","65","65","45"
"2","Ivysaur","Grass","Poison","60","62","63","80","80","60"
"3","Venusaur","Grass","Poison","80","82","83","100","100","80"
"4","Charmander","Fire","","39","52","43","60","50","65"
"5","Charmeleon","Fire","","58","64","58","80","65","80"
"6","Charizard","Fire","Flying","78","84","78","109","85","100"
"7","Squirtle","Water","","44","48","65","50","64","43"
"8","Wartortle","Water","","59","63","80","65","80","58"
"9","Blastoise","Water","","79","83","100","85","105","78"
"10","Caterpie","Bug","","45","30","35","20","20","45"
"11","Metapod","Bug","","50","20","55","25","25","30"
"12","Butterfree","Bug","Flying","60","45","50","90","80","70"
"25","Pikachu","Electric","","35","55","40","50","50","90"
"26","Raichu","Electric","","60","90","55","90","80","110"
"27","Sandshrew","Ground","","50","75","85","20","30","40"
"28","Sandslash","Ground","","75","100","110","45","55","65"
"29","Nidoran♀","Poison","","55","47","52","40","50","41"
"30","Nidorina","Poison","","70","62","67","55","55","56"
"31","Nidoqueen","Poison","Ground","90","92","87","75","85","76"
"32","Nidoran♂","Poison","","46","57","40","40","40","50"
"33","Nidorino","Poison","","61","72","57","55","55","65"
"34","Nidoking","Poison","Ground","81","102","77","85","75","85"
"35","Clefairy","Fairy","","70","45","48","60","65","35"
"36","Clefable","Fairy","","95","70","73","85","90","60"
"37","Vulpix","Fire","","38","41","40","50","65","65"
"38","Ninetales","Fire","","73","76","75","81","100","100"
"39","Jigglypuff","Normal","Fairy","115","45","20","45","25","20"
"40","Wigglytuff","Normal","Fairy","140","70","45","85","50","45"
"120","Staryu","Water","","30","45","55","70","55","85"
"121","Starmie","Water","Psychic","60","75","85","100","85","115"
"122","Mr. Mime","Psychic","Fairy","40","45","65","100","120","90"
"123","Scyther","Bug","Flying","70","110","80","55","80","105"
"124","Jynx","Ice","Psychic","65","50","35","115","95","95"
"125","Electabuzz","Electric","","65","83","57","95","85","105"
"126","Magmar","Fire","","65","95","57","100","85","93"
"127","Pinsir","Bug","","65","125","100","55","70","85"
"128","Tauros","Normal","","75","100","95","40","70","110"
"129","Magikarp","Water","","20","10","55","15","20","80"
"130","Gyarados","Water","Flying","95","125","79","60","100","81"
"360","Wynaut","Psychic","","95","23","48","23","48","23"
"361","Wobbuffet","Psychic","","190","33","58","33","58","33"
